state,county,per_100000_population,gender,race,location,latitude_longitude
ak,kenai peninsula,207.0,female,white,2122,60271254 151556972
ak,kodiak island,192.8,female,white,2150,57715045 15383609
ak,lake and peninsula,215.8,female,white,2164,58652287 156184325
ak,matanuskasusitna,198.9,female,white,2170,6231628 149600476
ak,southeast fairbanks,204.5,female,white,2240,63867414 14322069
ak,valdezcordova,202.5,female,white,2261,61536161 144339956
ak,yukonkoyukuk,203.1,female,white,2290,6550404 15141038
ak,anchorage,220.4,overall,black,2020,61159049 149103905
ak,fairbanks north star,414.6,overall,black,2090,64809327 146586265
ak,kenai peninsula,216.6,overall,black,2122,60271254 151556972
ak,matanuskasusitna,216.5,overall,black,2170,6231628 149600476
ak,anchorage,301.6,male,black,2020,61159049 149103905
ak,kenai peninsula,295.3,male,black,2122,60271254 151556972
ak,matanuskasusitna,295.5,male,black,2170,6231628 149600476
ak,valdezcordova,299.1,male,black,2261,61536161 144339956
ak,anchorage,98.7,overall,hispanic,2020,61159049 149103905
ak,kenai peninsula,79.4,overall,hispanic,2122,60271254 151556972
ak,matanuskasusitna,60.6,overall,hispanic,2170,6231628 149600476
ak,valdezcordova,180.5,overall,hispanic,2261,61536161 144339956
ak,anchorage,136.2,male,hispanic,2020,61159049 149103905
ak,anchorage,214.9,overall,asian and pacific islander,2020,61159049 149103905
ak,kenai peninsula,125.0,overall,asian and pacific islander,2122,60271254 151556972
al,blount county,416.5,overall,overall,1009,339833 86566107
ak,matanuskasusitna,94.6,overall,asian and pacific islander,2170,6231628 149600476
ak,anchorage,477.9,overall,american indian and alaskan native,2020,61159049 149103905
ak,bethel,391.9,overall,american indian and alaskan native,2050,60924483 159749655
ak,denali,406.5,overall,american indian and alaskan native,2068,63678399 149962076
ak,dillingham,456.8,overall,american indian and alaskan native,2070,59803151 158181608
ak,fairbanks north star,379.6,overall,american indian and alaskan native,2090,64809327 146586265
ak,haines,551.3,overall,american indian and alaskan native,2100,59140721 135513878
ak,juneau,551.3,overall,american indian and alaskan native,2110,58478434 134150437
ak,kenai peninsula,509.4,overall,american indian and alaskan native,2122,60271254 151556972
ak,kodiak island,584.2,overall,american indian and alaskan native,2150,57715045 15383609
ak,lake and peninsula,482.9,overall,american indian and alaskan native,2164,58652287 156184325
ak,matanuskasusitna,325.4,overall,american indian and alaskan native,2170,6231628 149600476
ak,nome,431.7,overall,american indian and alaskan native,2180,6490346 163947945
ak,north slope,380.8,overall,american indian and alaskan native,2185,69309889 153398986
ak,northwest arctic,411.3,overall,american indian and alaskan native,2188,67065111 159726506
ak,southeast fairbanks,336.0,overall,american indian and alaskan native,2240,63867414 14322069
ak,valdezcordova,439.3,overall,american indian and alaskan native,2261,61536161 144339956
ak,wade hampton,417.1,overall,american indian and alaskan native,2270,62159714 163349484
ak,yukonkoyukuk,384.4,overall,american indian and alaskan native,2290,6550404 15141038
ak,anchorage,789.0,male,american indian and alaskan native,2020,61159049 149103905
ak,bethel,570.8,male,american indian and alaskan native,2050,60924483 159749655
ak,denali,594.5,male,american indian and alaskan native,2068,63678399 149962076
ak,dillingham,598.0,male,american indian and alaskan native,2070,59803151 158181608
ak,fairbanks north star,524.1,male,american indian and alaskan native,2090,64809327 146586265
ak,kenai peninsula,870.5,male,american indian and alaskan native,2122,60271254 151556972
ak,kodiak island,450.0,male,american indian and alaskan native,2150,57715045 15383609
ak,lake and peninsula,699.9,male,american indian and alaskan native,2164,58652287 156184325
ak,matanuskasusitna,457.7,male,american indian and alaskan native,2170,6231628 149600476
ak,nome,560.1,male,american indian and alaskan native,2180,6490346 163947945
ak,north slope,554.3,male,american indian and alaskan native,2185,69309889 153398986
ak,northwest arctic,556.2,male,american indian and alaskan native,2188,67065111 159726506
ak,southeast fairbanks,473.4,male,american indian and alaskan native,2240,63867414 14322069
ak,valdezcordova,707.3,male,american indian and alaskan native,2261,61536161 144339956
ak,wade hampton,553.4,male,american indian and alaskan native,2270,62159714 163349484
ak,yukonkoyukuk,548.2,male,american indian and alaskan native,2290,6550404 15141038
ak,anchorage,292.4,female,american indian and alaskan native,2020,61159049 149103905
ak,bethel,288.6,female,american indian and alaskan native,2050,60924483 159749655
ak,dillingham,298.2,female,american indian and alaskan native,2070,59803151 158181608
ak,fairbanks north star,252.6,female,american indian and alaskan native,2090,64809327 146586265
ak,kenai peninsula,286.5,female,american indian and alaskan native,2122,60271254 151556972
ak,lake and peninsula,309.6,female,american indian and alaskan native,2164,58652287 156184325
ak,matanuskasusitna,274.3,female,american indian and alaskan native,2170,6231628 149600476
ak,nome,333.7,female,american indian and alaskan native,2180,6490346 163947945
ak,north slope,248.7,female,american indian and alaskan native,2185,69309889 153398986
